id,LSTM,DeepAR
NN5-001,0.4872008986596413,0.43667685831469955
NN5-002,0.6715160134537861,0.7400542740861209
NN5-003,0.5144822410253144,0.49852675222387455
NN5-004,0.6897448828697713,0.567964778049269
NN5-005,0.7895805344943475,0.8263841564186436
NN5-006,0.49899153575045163,0.5060308727126012
NN5-007,0.6486440111221564,0.7486190994208279
NN5-008,0.40364736452543826,0.39045140317201343
NN5-009,0.7798133053237597,0.7928734955095655
NN5-010,0.7485233156735976,0.847857908486893
NN5-011,0.8019538176214592,0.9451215231291994
NN5-012,0.5700361991694957,0.5796457616927947
NN5-013,0.5881468270805618,0.6251495095107674
NN5-014,0.5404635928613207,0.6487683683748625
NN5-015,0.5439417069674979,0.5017086468585046
NN5-016,0.33828177876971316,0.38125675534651443
NN5-017,1.0075425668849782,0.5074945346819899
NN5-018,0.34759541008034184,0.3517947340354911
NN5-019,0.3044621811465694,0.32167171565380887
NN5-020,0.6175566450686097,0.7575924621925114
NN5-021,0.7442019635459917,0.5875691411198408
NN5-022,0.4584174279514844,0.49792191243014217
NN5-023,0.47782625750551533,0.385564857770545
NN5-024,0.5096217706385426,0.6901720996153587
NN5-025,0.8761327585342029,0.6183909393704362
NN5-026,1.167131388487645,0.8369614017986472
NN5-027,0.5392379033590595,0.6927278261808855
NN5-028,0.6034159189587027,0.5580882565460242
NN5-029,0.5729262939659945,0.697153873800493
NN5-030,0.5155447903672089,0.39798496226125435
NN5-031,0.8680057754469426,0.4753698601314389
NN5-032,0.5585647489119256,0.6759384771701881
NN5-033,0.5817285307133743,0.6186777205063518
NN5-034,0.7933918362256003,0.6032852839819738
NN5-035,0.3530301573202744,0.37055807694044823
NN5-036,0.9471336626555124,0.5162915907752534
NN5-037,0.7100357204386484,1.0291990512323645
NN5-038,0.5149752966611365,0.5313473380179932
NN5-039,0.584855593613693,0.6997743107461855
NN5-040,0.8996333787043207,0.7934672401752599
NN5-041,0.6156451650817727,0.5890457894111453
NN5-042,0.35799530278012787,0.37138980445631353
NN5-043,0.6058246940150082,0.8002636761187526
NN5-044,0.5703363776563312,0.5575013461914328
NN5-045,0.547266577723423,0.565113853908986
NN5-046,0.5797359872287721,0.6768888526265834
NN5-047,0.4872008986596413,0.43667685831469955
NN5-048,0.6630201814010188,0.6235770160091177
NN5-049,0.45819433737467247,0.4919900273117641
NN5-050,0.8019538176214592,0.9451215231291994
NN5-051,0.8770890811671247,0.9723436299010023
NN5-052,0.5782355989538823,0.6310731589065682
NN5-053,0.5025911524212444,0.6265464209672647
NN5-054,0.9354732564870725,0.8213654078137644
NN5-055,0.6774110419870759,0.7335378672411623
NN5-056,0.45086219285846085,0.6632118770114567
NN5-057,0.7507837716309561,0.7317805880425396
NN5-058,0.3943202296377045,0.4520951349561712
NN5-059,0.7267476456991503,0.7404478801651049
NN5-060,1.0044912430294601,1.0257193133226907
NN5-061,0.45205857405109184,0.48088737495480216
NN5-062,0.547866485155913,0.5646031201157974
NN5-063,0.40005556932924324,0.5867796206049452
NN5-064,0.4321539677768358,0.6977752934370666
NN5-065,0.5313769598162731,0.5422015199697476
NN5-066,0.6974637026252867,0.6297118085832543
NN5-067,0.5178179321707186,0.6757675872485125
NN5-068,1.2110597060337012,1.1725417328069279
NN5-069,0.4405400844897308,0.6950343126808376
NN5-070,0.8152186324727526,0.5259111220682462
NN5-071,0.9458912946346765,0.9538472389641488
NN5-072,1.1067759675081943,0.6624358802370057
NN5-073,0.39127805691955325,0.4735445901179654
NN5-074,0.6454738595762336,0.6680431835383098
NN5-075,0.5662967927898682,0.41896754079500786
NN5-076,0.5904991352677563,0.7989826173840856
NN5-077,0.64645900929142,0.876602683496996
NN5-078,0.7474065623555974,0.9172387067985754
NN5-079,0.500063816676662,0.48682527324166386
NN5-080,0.7030856058614818,0.677609010311522
NN5-081,0.5460460045374878,0.5979886861748753
NN5-082,0.5012619731690657,0.53818135028332
NN5-083,0.756038802697693,0.6802019954444819
NN5-084,1.0018000535458829,1.1456232400419866
NN5-085,0.47429536220282326,0.46629075094819983
NN5-086,0.5217750989041374,0.6896270853931626
NN5-087,0.41970327071758634,0.42600596522311623
NN5-088,1.2102878466314868,0.9923036932696985
NN5-089,1.1523502910685024,1.1005265449282717
NN5-090,0.4183182804821332,0.524337706961134
NN5-091,0.7425776549915863,0.7086948336486054
NN5-092,0.8943464869020021,0.7929497570222721
NN5-093,1.1866144370400882,1.1812280156334796
NN5-094,1.0843141239211758,1.0173204473608133
NN5-095,0.5002126123303788,0.6459874533794832
NN5-096,0.4891815773264185,0.5385969319861897
NN5-097,0.8452297264811677,0.8206133152817245
NN5-098,0.5412862825111301,0.6006234339367476
NN5-099,1.159264531021305,0.9676855303638405
NN5-100,0.6281942201813839,0.6851916417250783
NN5-101,1.1234845700890472,0.728682984840585
NN5-102,0.3372218783673146,0.5095370283659073
NN5-103,1.5565333356672288,1.64867814317438
NN5-104,0.3719018063397007,0.4220684850010812
NN5-105,0.5921999110369984,0.6385196899339245
NN5-106,0.7604083199484375,0.4469921205498089
NN5-107,0.5874257850591211,0.7735905018556283
NN5-108,0.5107236344423915,0.5233384598991383
NN5-109,0.3617964042935593,0.45744018611526505
NN5-110,1.9166316210465701,2.586928923552011
NN5-111,0.500063816676662,0.48682527324166386
