mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
0.303982231473348,-0.08933766739254034,0.9109943196725714,4,0.0728198542260157,-1.6754378348663113,0.9768392370572208,6.0,0.011698554942620901,6,0.07429913853458266,1.0,0.5,-0.10340136054421767,0.1020408163265305,0.14243659217792673,6.0,2.075604122251658,0.8085106382978723,0.574468085106383,0.9019807032768165,1.223503949267661
0.27127067329777177,-0.12067400170666215,0.9267500544381625,4,0.07764379285273897,-1.6310650420224617,0.9686648501362398,6.0,0.009693936896603781,6,0.07708214272454543,1.0,0.5,-0.09387755102040818,0.05034013605442178,0.15678933124963731,5.0,2.0818794850266418,0.8085106382978723,0.6170212765957447,0.9019807032768165,1.213814448139484
0.1970367655200771,-0.1920923361685566,0.9544886558868523,4,0.08027330543161117,-1.5473907191122673,0.9741144414168937,6.0,0.010139407573496476,6,0.0783945674402809,1.0,0.5,-0.05442176870748294,0.03537414965986385,0.18288269510910138,5.0,2.0858482661352133,0.7872340425531915,0.723404255319149,0.9019807032768165,1.1958508578778142
0.08870022780374431,-0.2957851888081261,0.9947469193323681,4,0.06379891758577073,-1.4297423900234287,0.9686648501362398,7.0,0.006323208774782399,6,0.08188852679740428,1.0,0.5,0.00952380952380949,-0.0054421768707483276,0.2193716947391397,5.0,2.097018532784417,0.8723404255319149,0.723404255319149,0.8958447801252735,1.1701834387839274
-0.031111168914122134,-0.4080453467857691,1.081019474517214,4,0.06693592919047757,-1.2881454481289838,0.9659400544959128,12.0,0.0031297590253516077,6,0.10295560920752668,1.0,0.3333333333333333,0.023129251700680253,-0.010884353741496544,0.26364413930978653,6.0,2.0856186224946778,0.851063829787234,0.48936170212765956,0.8958447801252735,1.1382039269317354
-0.14797409254522564,-0.5142490096810968,1.1935370187233956,4,0.06394667448130369,-1.1347662316320009,0.9618528610354223,16.0,0.002525082863029651,6,0.10877855784189881,2.0,0.3333333333333333,0.048979591836734615,-0.01224489795918371,0.31240014682827616,6.0,2.0695101271074137,0.851063829787234,0.3829787234042553,0.8958447801252735,1.1018660063180072
-0.2568353881603289,-0.609946363343226,1.3283540452338742,4,0.0654475940437493,-0.9810542119824088,0.9700272479564033,19.0,0.0019830539030106366,6,0.1077438224246197,3.0,0.058823529411764705,0.19047619047619047,-0.01904761904761909,0.36235065431752034,6.0,2.0646622925150457,0.6595744680851063,0.3829787234042553,0.8958447801252735,1.063313264780149
-0.35606519470301967,-0.694333043314757,1.4843270297606967,4,0.0652695238819224,-0.8357510073201332,0.9686648501362398,23.0,0.020576131687242795,6,0.1310594820090264,3.0,0.02564102564102564,0.2680272108843538,-0.02857142857142858,0.410766762580538,6.0,2.0530446217540943,0.6595744680851063,0.3829787234042553,0.8958447801252735,1.0245300283253758
-0.4449942079751261,-0.767499860183351,1.6594558318550419,4,0.06524908708311139,-0.7042094300038411,0.9604904632152589,23.0,0.0303030303030303,6,0.13294742884444807,3.0,0.015151515151515152,0.32517006802721093,-0.039455782312925125,0.4557443505924382,6.0,2.039406276916587,0.6595744680851063,0.3829787234042553,0.8528933180644727,0.9871105189112187
-0.5237063840435237,-0.8301580296987142,1.8509476727078207,4,0.06447876474069136,-0.5887503084178585,0.9618528610354223,24.0,0.023333333333333338,6,0.15044384975202182,3.0,0.013888888888888888,0.3537414965986394,-0.048979591836734726,0.4962060360347616,5.0,2.029482604115362,0.6808510638297872,0.3191489361702128,0.6381360077604687,0.9521698733329497
-0.5927891458636451,-0.8833675858674725,2.117332487583908,4,0.07713873944302244,-0.4895067502416652,0.9577656675749319,24.0,0.013333333333333336,6,0.15196176956077356,3.0,0.0136986301369863,0.3537414965986395,-0.061224489795918324,0.5317461337930689,5.0,2.006433100352952,0.6808510638297872,0.3191489361702128,0.49700977527498047,0.920366184626629
-0.6531099060667642,-0.9283231038266387,2.550805608279177,4,0.09251136424859577,-0.4053052103076784,0.9495912806539509,24.0,0.013333333333333336,6,0.15821750882709495,3.0,0.0136986301369863,0.35918367346938784,-0.0605442176870748,0.5624253977306459,6.0,2.0009995719414304,0.5531914893617021,0.3191489361702128,0.32520392703177736,0.8919838944900818
-0.6837238203010203,-0.951177886254068,2.9641669371520716,4,0.10475124563114957,-0.3343572391186704,0.9332425068119891,24.0,0.020576131687242795,6,0.16586067669689042,3.0,0.0125,0.3659863945578232,-0.06122448979591838,0.5885834658732522,6.0,1.9806856743540882,0.44680851063829785,0.3191489361702128,0.23316507975863282,0.8670359431676019
-0.6757048702937336,-0.9438476792256489,3.836338088971033,4,0.11455134879773035,-0.2747130691676711,0.9318801089918256,37.0,0.020576131687242795,6,0.17692912941107894,3.0,0.0125,0.3632653061224489,-0.06258503401360549,0.6106967466702122,6.0,1.9739074062398565,0.44680851063829785,0.3191489361702128,0.20862138715246095,0.8453584393978305
-0.6671808988734109,-0.9354352932412651,9.35293585386113,4,0.12148632920767101,-0.2245162000440941,0.9291553133514986,46.0,0.020576131687242795,6,0.1733638120386046,3.0,0.0125,0.36190476190476195,-0.06598639455782312,0.629283869890746,6.0,1.9566590284305836,0.44680851063829785,0.3191489361702128,0.1779417713947461,0.8266863566111399
-0.658438306098011,-0.926376848518435,10.20843922957835,4,0.1338206916930082,-0.18212132278679843,0.9291553133514986,46.0,0.020576131687242795,6,0.1687701618785755,3.0,0.0125,0.3605442176870748,-0.06666666666666665,0.6448495913602904,7.0,1.9423377822808243,0.44680851063829785,0.2978723404255319,0.14112623248548828,0.8107082404073255
-0.6496801457662984,-0.9169913784717184,10.916456747715216,4,0.14344598362715905,-0.14613032979077756,0.9291553133514986,46.0,0.020576131687242795,6,0.16479068868915653,3.0,0.0125,0.3578231292517007,-0.06938775510204087,0.6578556976260832,7.0,1.938285585907864,0.44680851063829785,0.2127659574468085,0.12271846303085937,0.7971025787106136
-0.6410466001296146,-0.9075079652615956,15.376595716287817,4,0.16063156059824849,-0.11538502584177719,0.9305177111716622,46.0,0.04526748971193415,6,0.1646607502518054,3.0,0.0125,0.3537414965986394,-0.07551020408163267,0.6687090743856663,7.0,1.9383374946257317,0.44680851063829785,0.2127659574468085,0.12271846303085937,0.7855600199998193
